id	filename	md5	size	state
cd32019f-e6e5-4cf9-a4b4-d38dfdfc0f0a	fedd52be-18a8-423f-ba8a-4f9416f11ff5.htseq.counts.gz	25f82e6b61a11334a72554243312fde7	259611	released
e9ff3df6-7c3a-4da8-b65d-cb432d7ef680	9c330249-5ea7-4795-98c1-9c8f2cea6ac3.htseq.counts.gz	aa303b9ff3de8c3f344757b631832cd0	258937	released
89dc013b-099f-4167-88bf-a2a4d97236fd	38721491-84e5-4eee-92d4-fa8f8cf463f1.htseq.counts.gz	96562b9e6021f4f464a30941d7c18708	258661	released
946d33d9-8cb0-4d7e-9fd3-0a8648518e37	68975d5d-407b-4ceb-96d3-8e2a37ca3c1e.htseq.counts.gz	f99687805a986b983b3033c5256a0a70	257808	released
7a38fc20-11bf-4347-bc2f-bf597957d6e0	45b64a61-30d8-4ecc-909a-803be9c3ff2f.htseq.counts.gz	1911653638b16feeb79421339e9a1ab4	251502	released
e054a3b7-04e9-473e-a1d8-1c8358aade6b	45c99019-ad30-473d-af3b-2fa0ccb819b9.htseq.counts.gz	62b1789908fc7fcdf1dfdf456c4a3595	262661	released
d7b702c1-de1f-4341-9329-7931e1384da8	7394d96b-2719-4eb4-b776-439171584f2a.htseq.counts.gz	cd3c3fb70b5f13d9950e3102da0492db	255561	released
6c9ecca1-a836-4d3c-9229-6baf15817289	654acb8d-c1bb-42b1-91af-4f0b37abf02c.htseq.counts.gz	adce61700e88ae043ff366c7d193196b	263834	released
3405c4ca-2a4d-46df-87ce-bc23a0c79d64	9bca614a-922a-4bef-8a96-c2b71dcaf17f.htseq.counts.gz	d7354d746555b86ec3ac2c5feab4e9c0	257679	released
e134072f-d381-4be0-9456-6aa576e669a3	b322d383-64cb-4033-9b44-872ad37acc4a.htseq.counts.gz	cc2c9e90799fd7d0e7bde4d9e101b73c	262541	released
00bc9dff-d999-46ab-8d32-d6fb794d527f	bd0abda0-f330-40f3-b06b-1f6c8f5c667a.htseq.counts.gz	74437194e4a8daecfb392073ea3bad12	253601	released
390042c0-b512-444c-a86d-ab441205b370	58f06031-8e8c-4865-8cea-ba65d28317a9.htseq.counts.gz	595c1e04d5a1ac616dc9281c49a57003	256116	released
eda10edd-5495-48db-b2c0-54849ba9e8b1	4c8d97ab-39ad-41b9-b7f9-3aa56f373c2a.htseq.counts.gz	5b59adc89ddc8829f1da9e3d1c1b70c6	258563	released
fbb62773-9d22-428a-aea0-9c3da6c0f1e3	69134f9d-2738-4fc7-820d-0fb80b699480.htseq.counts.gz	52cf131ebdbb0e89ee4185ef474eb29a	253067	released
78ca2bc4-e7af-4625-8b0f-276b95f4a4c4	34e382cd-6fef-4386-8a30-cd1c8f889f30.htseq.counts.gz	ed01ee835fa6aa20cd64ac18c626ba89	258307	released
bc2cade8-7717-4469-a5fa-3d3a8907d1bf	0ab0f22f-bfeb-4a5e-bd8f-f0fb30eac992.htseq.counts.gz	3a6f1504667a27fd53387ed2c6effd5b	259395	released
5bc23348-57f9-4929-a90b-a557696ca955	af6e5654-e755-4c15-b3e5-807da2642e25.htseq.counts.gz	615e3868d8943e94859a23416f9f1a3a	253867	released
570518e9-12de-4cde-87db-9b7eb3c0858b	12c8b289-b9d0-4697-b3a6-db8eed617937.htseq.counts.gz	09b77ee29a8ea9e3baaccc193962db69	258825	released
