CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15	CS16	CS17
IM_13	0.181048083576451	0.133136434284582	0.0307692867626944	0.216872052994251	0.106957056824983	0	0.0642037748216333	0.188020102673201	0	0	0	0	0.0718366511015055	0.00184593902788083	0.000411638701019745	0.00489897923179873	0
IM_130	0.407404159798238	0.258307619932161	0.127802023822941	0.0702230142499245	0.0441279468354061	0.022032062866408	0	0.042257058346802	0	0	0	0	0.00863351309490341	0.0189236723786031	0	0.000288928674614388	0
IM_131	0.515305175703086	0.198376139431365	0.0638183074005639	0.00888326108485403	0.0301741792254016	0.063416544612564	0	0.0854864899810041	0	0	0	0	0.0111427918428459	0.0233971107183154	0	0	0
IM_132	0.885533541552987	0	0.0220389208450761	0	0.00611508777293255	0	0	0	0.00518312965816778	0.00947232257786129	0.0104311265911513	0.00207964874139257	0.0157452481948986	0.0406457621240574	0	0.00275521194147546	0
IM_133	0.848691635020131	0	0.0324493149139684	0.0185005551766543	0.0150715094119263	0	0	0.0199406793341757	0	0.0318941020552837	0	0	0	0.031024135907886	0	0	0.00242806817997395
IM_134	0.907185801930668	0	0.00448008171618617	0	0.00249808826941506	0	0	0	0	0.0267432150204178	0	0.00259821161820345	0.0130825018133976	0.0434120996317118	0	0	0
IM_135	0.299750730711116	0.261424881770058	0.191553345809107	0.0553306335441421	0.0510043381465362	0.120230995180128	0	0	0	0	0	0	0.0107822793284824	0.00883709767181269	0	0.000407410042721627	0.000678287795895734
IM_136	0.537973797915531	0.137845604982523	0.0211320709948472	0.0580501819805968	0.0694315789738465	0.0444962632907044	0	0.0772899301407245	0	0.00174770833793482	0	0	0.0222446821387409	0.0276454639469815	0	0.00214271729756855	0
IM_138	0.21391075078942	0.364177632448205	0.0589369689761577	0.17303770727835	0	0.0582720785352656	0	0	0	0.127253487620836	0	0	0.00139939814836955	0.00301197620339706	0	0	0
IM_139	0.861770927198553	0	0.0240790669302936	0.006555042327543	0.0110823047933036	0.0542776369247243	0	0	0	0.0262315154958939	0	0	0	0.0140112206212666	0	1.87361356328615e-06	0.00199041209485881
IM_14	0.31197523000361	0.0418951001330431	0.213241688610287	0.134642551410506	0.0755072032852626	0	0	0.206817300821028	0	0.00512263833678626	0	0	0	0.0107982873994775	0	0	0
IM_140	0.632207983190164	0.00432839045526145	0.10493492362915	0	0.0262579612344402	0.188248472607703	0	0	0	0.0133728783336766	0	0	0.00109651578218934	0.0292597873381908	0	0	0.000293087429224279
IM_142	0.880153876002138	0	0.00518926359893678	0.00969461713750059	0.0255807227716866	0.00288087412361001	0	0.00602476487999494	0	0.0269117995047161	0	0	0.00516352738986815	0.0381289287019135	0	0.000271625889635479	0
IM_145	0.248081577582726	0.194333721826842	0.0460922543981572	0.0594824427625712	0.0610512939674956	0	0.105116068711775	0.263133813890193	0	0.000158002971580756	0	0	0.0189652916412924	0.00358553224736645	0	0	0
IM_146	0.171788244481189	0.543677320209659	0.171304234162843	0.0537985294870163	0.0165676850192039	0.0214324180705835	0	0	0.00717073487588703	0.00931870259902561	0	0	0	0.00494213109459293	0	0	0
IM_148	0.307566001404104	0.411946857670237	0.0424330208113093	0	0.0705713368230532	0	0	0.153791490683317	0	0	0	0	0.00450594930054368	0.00702760260275628	0	0	0.00215774070467994
IM_149	0.651938107008099	0.148264988958235	0.0607668941360724	0.0458278235932389	0.0421699456950891	0	0	0	0.00740391545076068	0.0199126748309607	0	0.0232951772002382	0	0.000420473127306013	0	0	0
