segsize1	segsize2	segsize3	segsize4	segsize5	segsize6	segsize7	segsize8	segsize9	segsize10	segsize11	segsize12	segsize13	segsize14	segsize15	segsize16	segsize17	segsize18	segsize19	segsize20	segsize21	segsize22	changepoint1	changepoint2	changepoint3	changepoint4	changepoint5	changepoint6	changepoint7	changepoint8	changepoint9	changepoint10	bp10MB1	bp10MB2	bp10MB3	bpchrarm1	bpchrarm2	bpchrarm3	bpchrarm4	bpchrarm5	osCN1	osCN2	osCN3
IM_113	1.81895868530141e-06	0.958642429933002	14.3626741435833	48.7554939583548	45.661162550346	38.6662724240876	28.4158125506958	10.1750399474533	5.84342495156183	12.2806311062296	15.2673973166793	13.3347167040156	9.55538458363062	5.50303211137106	7.21049490924625	1.95606514110325	8.81147598907692	3.58555305079134	1.65577816521287	0.823291098918863	3.98600245755325	1.19165259119665	1.52896613364243	4.86124334882137	69.2802864882789	76.6242552792058	63.3182531854278	22.5910274197389	14.4901473950744	13.5214243662549	8.32545124037741	3.45894514317804	140.285968577605	114.98752057797	44.7265108444252	8.67786981635226	8.29299130747926	19.9157236420154	7.11324567032983	0.000169563823271476	87.8114451437475	45.1300849077698	2.0584699484827
IM_115	2.664816279011e-11	0.339025853067638	3.50856658072849	29.3576931197781	22.4178610951798	18.9073860726057	18.2385565452744	9.07054785011766	3.06811159206229	5.46213628480414	7.29523844309196	9.21979937118294	6.10457151184652	3.75493057558373	14.0596060734636	6.42969318931049	3.90102927637221	5.49689747479659	6.84797359129714	0.270926237258763	3.11941506763341	1.13003419451766	1.85340431956428	13.5114569053569	96.5388770049136	56.2384651559849	9.53214728065826	0.0388665972580913	0.00139236849346316	0.123976907070531	0.109261751586888	0.052151709113022	163.174732958127	112.412565245681	24.4127017961916	12.3790603925116	14.5288649143842	14.4370684016727	2.65500222274691	4.0686845846243e-06	17.4577245698542	10.0888680897174	2.45340734042835
IM_116	1.74484887620069e-18	0.0133999319005782	1.79573294154748	8.73148905653444	18.1219853596444	25.784526113201	36.7481708037624	19.7989233361023	9.90748627734119	9.89631954287414	11.5955906844078	16.9896201901912	6.91785058050709	10.9968110576685	15.5932416065362	4.04372993244659	6.48602341870128	2.14457449690151	1.45687418641236	3.41137865787941	3.45965790521681	0.10661392022331	1.37765968183128e-08	13.9884140987971	105.762566069597	61.0192434074715	22.2980702367007	5.17880054197139	2.57911443524202	2.09326001927805	0.856096398007741	0.224434779157999	135.85589000347	137.243397063749	26.9007129327815	5.53646363202245	16.6044931600463	19.7139821138185	2.14503549836116	2.55957516344981e-05	67.8770801318178	26.5616592694584	1.56126059872375
IM_117	0.0121841824610897	2.24196485650655	8.96542780352371	42.8449432658424	45.7907367283638	45.7423351590685	39.5645689402005	21.2590652663069	12.7315018743271	14.4408799030075	13.8221937784081	16.028649201993	12.8647147590516	4.03168179300597	7.79126972377905	2.71296954944066	3.79666290188827	3.76956972216186	1.55840008238437	0.665287585420788	2.21680430267108	0.148188620187187	0.815622199897167	11.8291100591093	90.5386918935189	79.1154187725192	61.9112047514945	19.1184995685254	13.2916129348991	11.7695709238188	9.29065652174159	5.31961237447616	121.088944846421	127.331958602454	51.5790965511248	7.41465658744157	9.78278294246704	18.7263796146917	7.1407686100065	0.935412245393232	136.912133524062	51.1768764631815	0.91099001275676
IM_118	1.33240840123284e-11	0.191438125359684	8.06439617101276	37.1517126147565	34.7517518949924	32.8178574589636	34.9854080952049	19.7159399521918	11.3599449721936	12.6110556134492	13.6812554666225	16.0415730531124	13.9788174878263	6.56545285092378	8.3029352868786	3.53678503268842	3.94401169924373	4.02066444469742	2.20618997011853	0.599116332841394	1.39564122839159	0.0780522485175268	1.02204314474907	3.09475937688208	74.6472493211841	69.1653835521984	62.7113500277808	18.3321233161971	12.2245940173163	10.8034521338686	8.68017301534161	5.31887209448191	128.472416577845	126.885791081266	44.641792340889	6.40175987188297	11.95375290109	18.6914191534771	6.94572121449858	0.0073468590514185	105.928585490847	40.7666744486818	2.30474006047108
IM_119	0.0121841824877379	2.58099075188647	13.0074572690395	31.2043853886761	25.925209446881	30.8546387432549	23.9035986797722	11.2137212410221	7.00859285388204	13.7329767076303	10.5106297944715	10.5848642652186	5.68584173332733	7.99840931353983	7.20365797772742	4.46567245923538	4.46916971644445	0.626396333444849	2.85252090485009	0.0150063350485662	0.693039482402203	4.45103641975738	2.37009024258947	3.10363891525263	32.0823576544482	55.8025429071455	60.7874902772621	25.2216307923558	17.4197963065353	11.6925919736937	6.550364912287	3.96949601843023	149.14613619006	117.940231251254	32.9136325586854	10.5778039772135	13.8845152001974	14.0214179438767	5.51339343789303	0.00286944081944806	89.3235311954475	31.4560568105142	0.22041199403827
IM_120	0.00609300069656342	1.40908315347982	1.89138279666353	3.41430725448398	10.8458318837336	23.9225602400434	18.9780867398806	5.19064900668465	3.1948861792491	4.34885248544943	6.48104639845968	2.17230910301072	2.16007431651351	1.96259730241853	6.39268156286368	5.46605610053852	4.31579744860198	2.98625429929652	3.27727861141551	1.28558304376879	2.97996318888304	3.31862588386483	0.908991417055632	5.74320857755778	28.7605942912412	38.8194655707417	27.7455586281276	5.33678942263679	2.166628287385	2.77060362535106	1.86855242801161	1.87960775189157	175.726634941411	108.303070763458	15.9702942951314	14.7741586885399	17.224979592439	11.6002845655361	0.400577151755796	1.7292708926686e-09	24.2390837536265	13.9805709128234	0.780345333550066
IM_121	1.81893203713513e-06	0.590984467875145	2.82934811417668	10.1276135446447	9.9480400916609	17.9075341944016	17.4139508122156	5.9066588670592	3.63451108850838	1.3882256518843	4.1685798537911	6.68957658227555	4.39074915621124	2.18578462709063	10.6017763156603	3.03569769829185	3.1268905499945	1.7143755044155	3.46724321508495	3.22394363347233	5.39023020307347	3.25828400928002	1.39346982802999	1.4347290789061	42.4620241251523	33.9465299936226	22.3120720085698	4.08419163992519	4.24443905373509	4.65902622887859	3.34468801629632	3.118830026884	174.988288445949	109.982830909098	15.0288806449529	14.9714352530491	15.8475087916279	12.9801583709045	0.200897584108765	3.09675678715866e-10	49.8853776206005	13.9983954351903	0.116226944209267
IM_123	1.33240840123283e-11	0.189598851823154	2.58292332794103	7.99001551628213	10.7017107733706	12.9949018511968	10.9910668834396	7.42898246166717	4.62691991451967	6.86140420261513	5.55314139039072	5.18472612418493	4.38827820263375	3.94308712452758	9.2604547190858	2.90749342999067	2.41731468264353	2.83718550486442	1.54312849457421	0.567682660958746	2.73063351071104	1.29935037256608	1.67560566412162	4.34000001480016	30.8328726841402	30.2015574042249	20.8715917812043	5.21993737298709	2.82153879143425	3.86484280564503	2.22339129354561	4.94866218789682	176.464981935167	109.077491654695	14.457526410138	15.8630205572072	18.2439414781222	8.65617077043014	1.23686571426206	1.47997837964577e-06	45.7011201626255	12.2073222307725	0.0915576066019336
IM_124	0.00609118180449853	1.33377981569564	4.89514416774823	12.9000394393844	11.4914951544609	10.64259672807	7.95965280452721	4.89820422593266	3.29836206420157	5.55798766562769	5.86564499843985	4.11891810962424	2.80321698988293	3.87495888237438	8.31842344342621	2.35061720450484	7.52231353859143	3.76404738784181	4.77935558125857	0.32387955350777	1.24328517476652	1.05198588832866	2.82876641835114	3.23612862224881	51.1831263045065	38.8791932452938	11.8980441346263	0.583722353537749	0.0203596081356826	0.205487573723744	0.11918970555364	0.0459820340226203	172.03489897604	113.21541164073	14.7496893832298	13.653328370484	17.9121046328597	12.0197856373098	0.414781354865843	4.48064794527881e-09	18.5415074945676	14.1085691817702	0.349923323662206
IM_125	1.33240805226306e-11	0.162819946864212	1.67741660973567	4.31109360460632	11.9993929533594	13.5691021268367	9.65157359775312	8.66978941941411	5.51257517579975	10.9092246262237	9.12107559903038	10.4782413779524	6.03527482043494	6.9199488012502	7.00895148589443	4.24627420947853	5.76361133829253	6.34136610672378	4.88929295198888	2.29530169211897	2.31354264829338	1.12413090793531	0.74614408911648	3.51411954953797	24.729550719651	43.1290811627606	46.5293130569789	8.66369771419275	2.74491998780811	2.02060068295119	0.7269207312412	0.195652305761747	160.22134607935	125.900425294925	13.8782286257245	9.80878331939699	21.9994250852764	11.6418511156201	0.54994047440739	5.29909932176806e-09	37.486922772103	17.2057812744614	0.307295953435523
IM_126	1.81894536121915e-06	0.781060593001511	8.44658917692327	16.5689023831365	11.6455050508904	13.2093760057841	12.5545091287914	7.6791431378998	3.43535816756314	6.86470520233962	13.6462927442393	14.7500952485132	7.83818403322639	4.69300866436322	5.34731838997087	2.4647611539879	6.4849433609084	1.17617277902208	2.46038334857012	1.08940752177463	6.46565821294085	3.3986238772079	1.39686522852582	16.3289308908083	74.3548223722071	43.8443497469447	13.3829024584216	1.17543798604267	0.0539602527028584	0.255691378930324	0.147910588979842	0.0591290964368051	167.604815518619	110.374140613381	22.0210438679998	12.6402953244456	17.8885311342447	10.5627281893122	2.90800975478312	0.000435597214352259	43.6544418793231	20.8018244625907	0.543733658086188
