,JBLAB-19902,JBLAB-19904,JBLAB-19905,JBLAB-19906,JBLAB-19907,JBLAB-19917,JBLAB-19937,JBLAB-19938,JBLAB-19939,JBLAB-19941
ENSG00000238290,2,2,2,2,0,4,9,1,3,1
ENSG00000232848,205,231,391,265,131,464,336,378,490,695
ENSG00000227634,1,1,5,0,0,0,1,0,0,4
ENSG00000162426,54,26,35,60,44,72,22,25,12,92
ENSG00000142599,2995,4696,2526,10164,2576,5108,1945,6526,2905,6400
ENSG00000280851,0,0,0,0,2,0,0,1,0,3
ENSG00000234619,63,94,211,84,53,115,240,218,313,357
ENSG00000224315,16,18,38,24,13,31,72,50,92,116
ENSG00000228423,3,0,0,0,0,1,1,0,1,0
ENSG00000074800,70068,66263,46817,59762,47351,97877,34164,29495,15471,65653
ENSG00000236269,11,12,8,4,15,5,4,11,2,3
ENSG00000230679,2,7,13,15,5,11,1,7,3,8
ENSG00000238249,122,219,168,437,103,332,87,371,191,455
ENSG00000232208,7,14,10,28,8,29,13,43,4,28
ENSG00000131686,0,0,0,0,0,21,1,0,0,0
ENSG00000142583,66,67,8,33,78,17,7,13,0,5
ENSG00000180758,118,147,2073,1876,152,1443,523,886,148,580
ENSG00000228526,38,5,83,124,27,39,95,246,5,6
ENSG00000234546,6,4,13,12,15,20,33,34,2,17
ENSG00000049239,2223,6056,1967,2188,1816,5798,2709,3013,2576,2294
ENSG00000171621,1114,3260,1466,946,867,5344,680,1276,711,511
ENSG00000235263,0,0,0,0,0,0,0,0,0,8
ENSG00000171612,606,521,1859,1488,472,2511,185,1965,239,1625
ENSG00000231181,47,98,160,81,38,110,77,64,82,105
ENSG00000188807,861,817,1246,1637,871,1988,279,1253,535,1247
ENSG00000171608,332,102,180,248,307,243,149,49,91,180
ENSG00000231789,8,19,128,131,6,162,44,35,9,97
ENSG00000171603,17218,6529,23299,5927,12858,8875,3751,5098,2242,5580
ENSG00000178585,1475,1298,506,1139,1213,1624,561,1953,714,1415
ENSG00000223989,3,0,0,0,0,0,1,2,0,1
ENSG00000162441,1048,789,934,1277,716,1842,548,898,539,785
ENSG00000228150,4,2,14,14,4,7,0,5,4,1
ENSG00000173614,313,303,246,278,233,623,358,288,155,182
ENSG00000202415,13,5,13,3,3,12,4,4,0,3
ENSG00000162444,9,5,3,236,8,572,13,285,41,519
ENSG00000130939,2140,1951,4364,2601,1559,3739,1108,2389,882,1658
ENSG00000233623,3,0,0,1,4,1,0,5,1,0
ENSG00000054523,2131,2146,3678,2286,1620,4607,1194,3254,1143,1795
ENSG00000142657,3075,3104,6833,8204,2526,11820,1965,8001,5431,9571
ENSG00000271989,1,9,2,15,0,5,1,3,1,1
ENSG00000175279,57,51,84,150,40,225,39,108,46,121
ENSG00000241563,2,2,2,13,3,4,4,7,2,2
ENSG00000160049,1749,1781,3298,2792,1556,4717,1434,2106,1056,2119
ENSG00000142655,755,1130,753,890,615,1790,300,617,429,623
ENSG00000130940,504,1275,169,729,462,764,231,262,248,347
ENSG00000272078,0,1,0,0,3,1,1,1,0,0
ENSG00000175262,0,0,0,1,0,3,4,6,0,2
ENSG00000120948,1698,2743,4009,3720,1468,3645,2017,4110,3538,3242
ENSG00000009724,0,0,4,0,7,2,1,1,1,0
ENSG00000271895,34,24,12,37,47,34,27,27,5,7
ENSG00000116649,995,1979,4591,1488,1472,2078,575,1725,736,2232
ENSG00000171824,2733,2276,2602,2507,2177,3384,785,1845,512,1084
ENSG00000226849,6,9,7,7,15,13,8,17,2,6
ENSG00000230337,12,22,27,65,20,76,7,82,10,53
ENSG00000198793,3277,2698,2332,4137,2082,6538,1293,3054,1178,1831
ENSG00000238173,0,0,0,0,2,2,2,0,2,3
ENSG00000120942,664,801,681,722,613,1347,271,1238,423,684
ENSG00000238199,3,1,6,3,0,3,3,6,4,7
ENSG00000204624,0,0,1,8,0,15,9,7,5,9
ENSG00000235643,3,0,4,0,2,2,0,0,2,0
ENSG00000116661,536,798,3461,2674,438,3086,340,958,125,698
ENSG00000132879,950,672,1344,1247,931,1274,581,377,136,225
ENSG00000116663,218,267,123,238,273,709,124,439,114,152
ENSG00000116670,807,786,1515,3000,838,2175,741,782,470,1569
ENSG00000162490,0,4,1,390,0,21,46,4,7,15
ENSG00000177674,1555,1658,1398,2138,1448,3962,1163,1426,803,1763
ENSG00000215910,8,86,15,49,10,40,62,3,0,4
ENSG00000177000,879,1619,586,1377,748,2881,835,707,292,404
ENSG00000011021,354,385,332,799,279,866,315,338,116,141
ENSG00000242349,6,2,2,7,11,9,0,21,8,4
ENSG00000175206,0,0,0,0,0,3,0,0,0,0
ENSG00000224904,1,1,3,0,0,2,1,0,0,1
ENSG00000199347,0,3,0,0,0,1,0,0,0,0
ENSG00000116685,1816,4146,2378,3204,1798,5545,1038,2069,1641,3118
ENSG00000083444,8571,5635,3095,4589,5492,6751,3935,5160,2706,7882
ENSG00000116688,3982,4180,4387,4449,2971,9270,1277,3367,1198,2251
ENSG00000116691,551,1368,806,1429,655,1581,439,831,397,650
ENSG00000120949,2,74,0,1,10,53,0,3,7,4
ENSG00000028137,167,176,1,638,191,407,85,45,693,494
ENSG00000048707,2406,1756,1144,1264,1893,2110,1068,1491,795,6797
ENSG00000280999,4,0,0,0,2,4,0,0,1,2
ENSG00000239149,2,0,2,3,4,11,1,2,2,7
ENSG00000229484,0,0,0,0,2,8,0,4,0,2
ENSG00000162496,4564,6272,145,1057,4441,7401,608,2450,2677,5078
ENSG00000221340,16,5,5,2,8,5,1,5,0,4
ENSG00000276830,5,3,0,0,1,0,0,1,0,0
ENSG00000272482,69,17,4,4,51,39,2,6,4,83
ENSG00000204518,3,0,0,0,0,3,0,0,0,12
ENSG00000157330,0,15,0,0,1,0,17,4,3,0
ENSG00000116726,0,0,0,2,0,7,0,0,0,0
ENSG00000116721,0,0,0,2,0,3,0,0,0,0
ENSG00000239810,0,0,0,3,0,1,0,0,0,0
ENSG00000179172,42,82,85,62,21,91,75,75,142,125
ENSG00000120952,0,0,0,2,0,4,0,0,0,0
ENSG00000204510,0,0,0,2,0,8,0,0,0,0
ENSG00000274178,0,0,0,0,0,3,0,0,0,0
ENSG00000274764,0,0,0,0,0,3,0,0,0,0
ENSG00000280267,0,0,0,1,0,4,0,0,0,0
ENSG00000229571,0,0,0,1,0,4,0,0,0,0
ENSG00000277862,0,0,0,4,0,12,0,0,0,0
ENSG00000275774,17,44,52,36,23,45,49,43,69,57
ENSG00000229978,0,0,0,1,0,11,0,0,0,0
ENSG00000179412,3,0,2,2,1,1,0,0,2,0
ENSG00000204505,0,0,0,2,0,4,0,0,0,0
ENSG00000279169,0,0,0,0,0,4,0,0,0,0
ENSG00000182330,0,0,0,2,0,3,0,0,0,0
ENSG00000204501,0,0,0,0,0,3,0,0,0,0
ENSG00000237700,0,0,0,0,0,3,0,0,0,0
ENSG00000204481,0,0,0,1,0,3,0,0,0,0
ENSG00000162494,0,0,0,0,0,28,1,0,2,0
ENSG00000162493,16,32,0,86,26,426,45,19,323,9
ENSG00000116731,1943,1156,1210,1076,1291,1315,583,1506,624,754
ENSG00000189337,4830,1743,1860,2712,3064,4589,1424,1159,1503,2222
ENSG00000175147,371,81,59,219,330,124,48,48,13,28
ENSG00000171729,1609,381,570,1125,1325,1434,261,525,360,821
ENSG00000278480,4,0,0,2,2,1,0,0,0,0
ENSG00000142621,43,51,6,129,23,636,107,97,31,235
ENSG00000233485,0,0,0,0,0,19,0,1,4,12
ENSG00000228140,3,2,0,7,2,11,7,26,0,41
ENSG00000142634,2360,5364,1286,1600,1813,8133,1170,1434,2972,8619
ENSG00000162438,1,1,0,4,4,5,3,2,1,1
ENSG00000132906,423,612,407,840,343,1271,190,393,371,559
ENSG00000116138,935,883,620,1089,804,1119,457,878,480,577
ENSG00000272510,0,0,0,1,0,6,1,13,3,1
ENSG00000116771,6,28,180,156,17,395,27,745,64,141
ENSG00000237301,5,11,3,12,0,22,8,24,4,5
ENSG00000235084,192,189,263,320,171,507,167,409,362,680
ENSG00000197312,1179,820,1968,1882,828,2966,761,2453,648,1164
ENSG00000116786,3107,2601,2304,2398,2438,5182,778,1743,581,827
ENSG00000162461,20,24,10,8,32,23,17,25,2,6
ENSG00000162458,1032,2313,163,372,1094,546,708,703,960,302
ENSG00000224321,21,29,81,38,23,29,62,46,95,91
ENSG00000233954,503,1262,3,1766,559,2761,880,1353,1121,1502
ENSG00000178715,159,147,880,475,157,807,169,258,124,600
ENSG00000179743,59,114,210,373,69,299,79,116,44,195
ENSG00000065526,2397,3088,2141,2284,1851,2842,1084,2691,1116,1663
ENSG00000116809,1064,596,727,1730,920,1681,381,433,533,547
ENSG00000183888,0,0,0,0,0,3,0,0,0,0
ENSG00000173641,0,2,247,0,3,1,6,10,1,8
ENSG00000186510,43,142,36,41,24,48,160,22,4,17
ENSG00000232456,3,5,12,33,4,51,10,2,2,6
ENSG00000184908,82,94,15,21,90,51,95,74,16,36
ENSG00000185519,13,25,57,211,28,250,64,10,9,24
ENSG00000142627,3931,5379,2322,8102,3470,13422,1482,2873,2136,1274
ENSG00000227959,57,46,42,13,42,61,15,13,10,5
ENSG00000224621,18,16,16,3,15,6,4,7,1,0
ENSG00000142632,475,821,1602,1399,417,1754,486,1094,375,883
ENSG00000237276,11,25,40,84,23,41,37,45,60,23
ENSG00000132881,119,107,186,167,156,146,78,99,105,121
ENSG00000233929,49,136,49,30,61,71,149,11,33,18
ENSG00000037637,1534,1323,1277,1340,1002,2153,704,1072,555,713
ENSG00000055070,5441,7882,7419,5673,4471,8697,2362,5840,4254,6358
ENSG00000226457,4,2,2,5,8,6,3,2,0,0
ENSG00000187144,1,6,0,0,2,3,3,3,2,8
ENSG00000157191,1719,1880,1462,1700,1613,3213,645,1360,1259,1379
ENSG00000226029,35,7,5,10,35,26,3,21,13,15
ENSG00000080947,70,93,18,102,67,62,95,58,17,14
ENSG00000206652,1,32,0,1,5,4,1,10,9,1
ENSG00000261135,9,36,7,63,13,58,14,8,4,1
ENSG00000224174,16,12,9,12,18,15,23,12,17,33
ENSG00000225710,4,0,3,1,3,0,1,1,0,3
ENSG00000219481,592,651,793,1164,519,971,493,613,257,600
ENSG00000215908,355,290,227,610,329,444,118,205,44,83
ENSG00000186301,86,111,16,224,130,197,116,48,4,13
ENSG00000282143,1,5,0,5,1,8,6,1,1,0
ENSG00000207513,3,24,0,1,2,4,3,9,4,4
ENSG00000280114,19,1,0,9,10,5,9,1,0,8
ENSG00000236698,150,192,151,161,100,206,136,211,207,169
ENSG00000268869,29,14,20,127,28,79,37,6,9,73
ENSG00000279132,0,0,0,1,5,0,2,2,2,0
ENSG00000282740,2,2,1,7,3,9,11,1,3,2
ENSG00000058453,568,593,300,870,548,510,282,213,275,285
ENSG00000227684,0,0,3,0,1,0,0,1,0,2
ENSG00000207389,1,26,0,3,0,1,3,14,4,0
ENSG00000186715,103,141,34,211,129,236,132,62,0,28
ENSG00000223643,3,0,0,3,4,0,0,1,1,1
ENSG00000230239,3,0,0,1,1,1,0,0,0,1
ENSG00000238142,61,87,47,38,62,45,49,57,54,142
ENSG00000207005,1,19,0,1,1,2,1,7,6,2
ENSG00000272426,0,3,1,3,0,2,3,0,0,0
ENSG00000117122,17,1473,94,681,36,309,189,219,431,1023
ENSG00000159363,1411,1652,1295,3021,1380,2998,590,494,560,1047
ENSG00000117118,3058,2799,4350,3202,2291,7795,1185,2585,900,2873
ENSG00000117115,1644,87,45,575,1029,1061,64,127,1322,112
ENSG00000204362,10,0,0,0,2,0,3,1,0,0
ENSG00000142623,19,9,0,0,16,3,17,0,120,3
ENSG00000142619,3,2,0,2,0,2,3,22,1,0
ENSG00000159339,3,0,2,0,1,0,0,0,0,1
ENSG00000276747,0,0,0,0,0,0,0,5,0,0
ENSG00000227751,3,5,5,1,1,3,0,6,1,13
ENSG00000179051,5856,12498,17937,16642,4590,16533,4147,15727,5705,9768
ENSG00000074964,1420,542,470,464,1263,778,195,466,151,164
ENSG00000117148,0,21,669,1,1,179,0,1,1,0
ENSG00000179023,103,2,0,15,36,164,30,81,70,52
ENSG00000159423,221,221,192,1913,245,616,206,443,644,589
ENSG00000169991,356,107,31,1405,296,236,246,268,657,642
ENSG00000272084,5,20,16,30,12,19,2,18,2,3
ENSG00000127481,4529,4604,3435,2956,3018,5187,2427,5226,1489,1673
ENSG00000230424,8,24,32,33,5,58,29,52,20,58
ENSG00000127463,4916,2905,3320,3799,3819,6169,1389,2264,1805,2129
ENSG00000053372,1837,2366,4191,2425,1908,4776,776,2954,1011,2850
ENSG00000211454,28,107,73,55,51,110,35,58,24,69
ENSG00000162482,52,193,78,60,57,76,39,57,19,60
ENSG00000053371,910,1471,2177,1807,874,1827,757,1420,1092,2550
ENSG00000040487,524,626,565,517,549,1452,199,509,195,312
ENSG00000077549,7540,9199,9208,6538,6342,11745,1994,4185,4282,4538
ENSG00000173436,445,753,994,701,314,1286,293,683,404,654
ENSG00000226396,237,257,424,358,233,266,514,349,770,703
ENSG00000158747,216,504,734,36,203,508,265,388,511,368
ENSG00000158748,1,0,0,5,1,7,4,0,0,3
ENSG00000162542,1207,1128,1337,1173,1007,2825,424,551,163,267
ENSG00000169914,360,193,628,687,259,589,240,479,191,354
ENSG00000188257,4,8,0,1,74,1,0,0,1,0
ENSG00000127472,0,0,0,0,0,0,1,0,44,0
ENSG00000158786,1,0,0,1,0,6,3,0,0,0
ENSG00000227066,1587,1,0,0,1336,43,1,0,2,1
ENSG00000187980,4,0,0,0,2,0,5,1,1,0
ENSG00000225986,16,9,0,2,14,5,29,7,33,2
ENSG00000162543,1314,409,0,232,668,267,714,650,836,520
ENSG00000158816,0,0,0,0,0,1,2,3,2,0
ENSG00000162545,4382,15,11,100,4158,536,1879,77,1146,112
ENSG00000090432,3005,1186,1007,1495,2349,3820,589,693,827,801
ENSG00000183114,0,0,0,3,0,22,9,0,0,6
ENSG00000158825,8,9,4,19,6,455,299,16,28,151
ENSG00000158828,3155,2414,944,1586,2791,5569,1116,1250,1008,1462
ENSG00000117242,349,359,210,681,360,1141,296,223,238,252
ENSG00000244038,8952,12094,9694,11984,6925,18917,8195,9286,6515,9305
ENSG00000117245,42,5,10,152,27,248,76,31,9,31
ENSG00000189410,100,25,63,69,109,111,82,68,1,38
ENSG00000127483,6564,6522,7985,6898,4205,8373,3496,5020,2259,3883
ENSG00000075151,3161,2721,4354,3559,2083,4260,1345,3533,457,1707
ENSG00000117298,15246,2428,3934,7058,9589,32604,3760,5919,4399,6656
ENSG00000231105,1,0,1,8,1,5,4,6,2,1
ENSG00000236216,23,34,9,11,18,11,6,12,14,8
ENSG00000227001,32,25,19,36,15,46,40,26,11,11
ENSG00000187952,67,218,86,336,38,135,241,177,156,72
ENSG00000186543,1,0,3,6,4,1,0,0,0,0
ENSG00000142794,212,179,161,274,141,290,217,202,168,126
ENSG00000162551,67,1425,52,508,44,1162,764,2988,912,3487
ENSG00000076864,1729,2203,207,1225,1328,2650,498,773,137,165
ENSG00000090686,2661,2497,2381,3944,1819,5862,1126,2516,1038,1776
ENSG00000187942,9,41,10,0,12,6,7,9,10,6
ENSG00000142798,6869,22811,1420,3620,5949,9485,2387,2328,1431,1964
ENSG00000232037,3,7,10,2,5,8,9,5,1,12
ENSG00000219073,0,0,0,1,3,2,0,1,0,0
ENSG00000228397,2,0,8,3,3,4,2,1,2,0
