,JBLAB-19902,JBLAB-19904,JBLAB-19905,JBLAB-19906,JBLAB-19907,JBLAB-19917,JBLAB-19937,JBLAB-19938,JBLAB-19939,JBLAB-19941
ENSG00000132031,37.505,24.191,7.494,52.312,22.281,46.82,25.234,186.927,12.612,47.89
ENSG00000068697,4681.097,9777.146,5128.472,6709.046,4201.407,4924.06,7510.204,8430.227,11279.551,5718.243
ENSG00000223734,0,0.968,3.331,4.087,0,0,3.154,2.921,2.102,0
ENSG00000234378,0,0,0.833,0.817,0,0,5.257,0,0,0
ENSG00000115884,854.411,1503.73,3364.857,5039.959,820.228,6137.788,3362.401,3999.465,2635.959,2495.363
ENSG00000235411,52.741,77.412,69.945,54.764,43.17,99.403,30.491,48.679,65.163,44.833
ENSG00000055917,2216.313,3102.289,3821.165,2490.554,1920.365,1983.022,4270.817,4283.751,3794.184,3742.535
ENSG00000143878,2354.613,1576.303,323.08,1010.28,3304.587,594.979,604.559,323.228,2514.041,1293.024
ENSG00000279307,36.333,38.706,55.79,31.878,33.422,57.625,65.187,50.626,40.99,98.836
ENSG00000118960,589.532,822.503,393.857,705.398,685.148,790.183,594.045,405.009,502.388,471.765
ENSG00000269976,2.344,0.968,0.833,0.817,2.785,0,3.154,0,1.051,1.019
ENSG00000231948,2.344,0,0,0,0,5.042,3.154,0,0,1.019
ENSG00000143869,11.72,0,0.833,0,5.57,8.644,0,0.974,55.704,3.057
ENSG00000270100,3.516,0.968,4.996,6.539,2.785,1.441,0,0.974,1.051,1.019
ENSG00000118961,362.158,540.917,430.495,1150.87,267.375,784.421,321.731,440.058,457.194,403.497
ENSG00000084674,32.817,0,0.833,0,22.281,0.72,0,0,3.153,0
ENSG00000218819,0,0,0,0,0,3.602,0,0,0,0
ENSG00000119771,139.472,41.609,52.459,219.058,155.969,311.175,157.711,102.226,214.408,222.127
ENSG00000224361,0,0,0,0.817,0,0.72,3.154,2.921,3.153,1.019
ENSG00000283031,1.172,1.935,0.833,0,0,1.441,5.257,0,4.204,0
ENSG00000119778,139.472,390.931,260.629,476.532,96.088,258.592,469.979,464.398,330.02,205.824
ENSG00000224464,1.172,6.774,9.159,3.27,8.355,3.602,6.308,4.868,3.153,5.095
ENSG00000173960,689.155,845.727,440.487,718.476,594.631,726.796,1093.464,721.423,1311.674,1098.408
ENSG00000234946,36.333,36.771,55.79,88.277,25.066,55.464,35.748,36.022,45.194,32.606
ENSG00000205639,911.841,465.44,1544.62,488.793,1059.752,513.583,454.208,975.527,871.296,1545.719
ENSG00000163026,189.869,111.28,253.967,624.478,162.932,345.75,377.455,345.621,522.357,457.5
ENSG00000119782,4.688,30.965,2.498,85.007,9.748,28.813,90.421,39.917,49.398,102.912
ENSG00000115128,2276.087,3075.195,3435.635,3710.9,2255.976,3821.981,5206.57,3009.335,3717.459,3570.336
ENSG00000219626,43.365,68.703,6.661,43.321,50.133,25.211,167.174,55.494,54.653,50.947
ENSG00000115129,713.768,933.783,367.212,631.834,891.25,548.158,971.501,1342.566,732.561,713.252
ENSG00000176732,26.957,18.385,9.159,17.165,29.244,26.652,66.239,47.705,16.816,42.795
ENSG00000186453,0,1.935,26.646,0,0,0,5.257,0,0,0
ENSG00000223754,0,0,0,0,0,0.72,0,4.868,1.051,0
