"CN.gene_name","PDO1","PDO2","PDO3","PDO4","PDO5","PDO6","PDO7","PDO8","PDO9","PDO10","PDO11","PDO12","PDO13","PDO14","PDO15","PDO16","PDO17","PDO18"
"KRAS",3.98900676320551,2.80174253812157,2.7437496251693,2.72821005876563,2.62397820057529,2.46023779427287,2.75115947567137,2.66018303538727,2.69455367966665,2.63004194295161,2.68764758966708,1.99694019867101,2,3.99188813764305,2.12155397904332,2.03584715918125,3.95071992923699,3.19036592909264
"MECOM",5.02180007804386,3.9762504023045,3.96653964983173,7.68791621036987,4.45555129525319,4.51933781792436,2.03887818763218,2.01746216434064,3.90263839688325,4.88560793479516,4.96411519468491,2.7838314970077,4.83133723070045,5.76407940508284,2.20375316774794,2.79853152145571,4.49773099713678,8.94505643400949
"MYC",9.6170408174092,2.05615277907553,104.767519416082,10.0312116351852,3.90837539305917,4.13675835321147,3.6027842656477,3.94858665256624,81.1341931909038,4.31683225413915,5.91657997406234,2.02660724642105,4.82896689479563,4.97256082761318,8.89181820402851,4.00273291073672,3.95906811528858,3.06459206235839
"PARP1",4.73424180156347,3.76934026854374,4.94555814520628,4.7468645644916,2.0526340737145,2.03034638742712,2.01858331953729,2.01319079006775,4.86687539265451,6.06120450464544,2.96349074425023,2.94859624653256,2.91027936179629,3.51829983482975,2.07688031520897,1.03001198892552,2.30020422742326,3.93558582905067
"PARP2",2.97669402917331,2.00429184425964,2.03923473126317,2.14937825220369,2.06353396113332,2.03324843656539,2.02103789699052,1.95146428873468,2.0337207237086,3.01882981644842,2.00560055731502,1.99747514621978,2.20159807197558,6.37812024554675,2.06425154528353,2.07043021046193,2.64569596105474,2.07457316670028
"PIK3CA",4.76288720116776,4.75073904466808,3.79804324865404,5.74269953185796,3.80369978015032,3.87458706276575,2.03554703959207,2.01596597693937,3.73961716176869,4.63836422818372,4.71014485494462,2.73372773435012,4.58874352864402,5.12541081170521,2.18629525608213,2.73011200720704,4.30969122275459,5.57195770401448
"PTEN",3.00343366701013,2.74799485466075,3.10152860740878,2.02335162356819,2.04452578663526,2.02447518920813,2.14082150900204,2.0608595852698,2.96084087404802,2.90594732735608,3.89175525671232,1.984919971751,1.99316269080806,2.03276165333363,2.07146150031006,2.79709148321712,3.20515100536039,2.95148352046609
"RB1",2.65194552870552,2,2.00132585929188,2,1.32570035871843,1.32794890855849,1.31381193305165,1.31141110283349,1.98067731420083,3.24266464099387,2.69919975402055,2.0926477482001,1.99263568735526,2,2.82621453116871,1.29258027525212,2.62500331089268,3.6043909002429
"TERT",3.79215633292897,3.91399693809342,4.69388169423942,3.23148401964878,2.74584288427986,2.03107170541274,1.97041102520276,2.4979350736515,4.60175097613982,2.85665550491878,2.97615626107046,3.9049867780817,2.90200565066735,7.36743154659128,3.0746766065285,0.989734343386894,2.90766065261226,3.39556539384306
"TOP1",3.95046068275408,3.89900940853453,4.62449784922709,1.93414006775525,3.72531584562114,3.76259168117459,2.20489159291375,2.0963654312489,4.19536253542872,2.38599921366504,3.91641896732838,2.03933915949091,2.86994206657391,5.01722608298675,3.69421594212877,2.96355635843573,4.97364805365272,3.63282393526914
"TUBB1",3.63737497932051,2.70930544135291,4.20515103599825,3.61918422773265,3.44837013225836,3.47966249360056,2.61382748195157,2.83433866048541,3.82222309285894,3.43921217533151,3.60879760086626,2.0330244828965,2.73029996752111,3.5715427075003,4.39381491878708,4.0384437211364,4.49632149133149,5.05578818553634
"WEE1",3.91635264034632,2.01073823573806,2.01102619722819,2.01975296658497,3.01935386665545,2.87016137726091,1.01299531531048,1,1.97718992436317,2.01006872259388,2.95668203714989,0.997536319005488,1.97415458546475,2.90092295083713,2.32257053444711,2.09856308593262,3.00236205458195,2.49421497500399
